name,traditional_funding_before,traditional_funding_after,%,profit,opensource_solution,nonprofit_cryptocurrency,existence_m,fte,blockchain,single,token_utility_product,only_payment,transaction,generation,other_usage,voting_shareholder,voting_product,voting_other,profit_sharing,non-dividend_return,info,funding,coin_offered,cap_money,same_price,expensive,cheaper,price_ratio,start_date,ICO_days,cap_time,bitcoin,Ethereum,other_bc,bs,other_p,minimum_pledge,high_transaction_fee,u_access_service,u_profit_sharing,u_transaction,u_other,platform_used,bigger_than_10m,mojority_offered,In_2017,traditional_funding,sold_fast,big_team,funding_standardized
Etheroll,0,0,1,1,0,0,Unknown,Unknown,1,0,1,1,0,0,0,0,0,0,1,0,1,355208,0.91,1,0,1,0,2,Feb-17,14,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0011231745
Pillar,0,0,1,1,0,0,Unknown,4,1,0,1,0,0,0,0,0,0,0,0,0,1,21210000,0.72,1,1,0,0,1,Jul-17,2.5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0.070643383
iExec RLC,0,0,1,1,0,0,15,10,1,0,1,1,0,0,0,0,0,0,0,0,1,12000000,0.69,1,0,1,0,1.2,Apr-17,0.23,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0.0399415127
vSlice,0,0,1,1,0,0,5,Unknown,1,0,0,0,0,0,1,0,0,0,1,0,1,1647000,1.00,1,0,1,0,1.3,Nov-16,28,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0054294102
Melon,0,0,1,1,0,0,Unknown,9,1,0,1,1,0,1,0,0,0,0,0,0,1,2900000,0.40,1,1,0,0,1,Feb-17,0.0069444444,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0.0096063313
Xaurum,0,0,1,0,0,1,Unknown,Unknown,1,0,0,0,1,1,0,0,0,0,0,0,0,851342,1.00,0,0,0,0,1,Jul-16,13,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0.0027770552
BitBay,0,0,1,1,0,0,Unknown,3+,1,1,1,0,0,0,0,0,0,0,0,0,0,390000,1.00,1,0,1,0,1.19,Nov-14,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.0012391549
DigitalNote,0,0,1,0,0,1,37,Unknown,1,1,0,0,1,1,0,0,0,0,0,0,1,595312,0.15,1,0,1,0,1.33,Jun-17,29,1,1,0,0,0,1,1500,0,0,0,1,0,1,0,0,1,0,0,1,0.0019235699
TaaS,0,0,1,1,0,0,10,9,0,0,1,1,0,0,0,0,0,0,1,0,1,7635601,1.00,1,1,0,0,1,Mar-17,31,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0.0253926297
Synereo 1,0,1,0.512,0,1,0,24,5,1,1,1,1,0,1,0,0,0,0,0,0,1,126023,0.19,1,0,1,0,1.5,Mar-15,30,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0003591779
Synereo 2,1,0,0.9502584197,0,1,0,42,Unknown,1,1,1,1,0,1,0,0,0,0,0,0,1,4700000,0.03,1,0,1,0,1.21,Sep-16,30,1,1,0,0,0,1,6,0,1,0,0,0,1,0,0,0,1,0,1,0.0156066968
ION,0,0,1,1,0,0,12,6,1,1,1,1,0,1,0,0,0,0,0,0,1,500000,0.46,1,0,1,0,1.3,Apr-16,42,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0016058439
Quantum Resis...,0,0,1,0,1,0,6,6,1,1,0,0,1,1,0,0,0,1,0,0,1,4160000,0.50,1,1,0,0,1,May-17,24,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0138065872
Mysterium,0,0,1,0,1,0,6,8,1,0,1,1,0,1,0,0,0,0,0,0,1,14380000,0.89,1,0,1,0,1.2,May-17,0.03125,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0.0478753293
